kind,run_id,batch,n_ids,n_needed_fetch,n_served,n_rows,seconds,seconds_per_source,source_id,n_transits_used,verdict
source,m6_cache_20260824T181908,6,,,,88,0.02,,5.270266446649786e+18,702.0,SPURIOUS
source,m6_cache_20260824T181908,6,,,,95,0.024,,4.1118302040919757e+18,781.0,SPURIOUS
source,m6_cache_20260824T181908,6,,,,115,0.024,,4.690033098152051e+18,824.0,CONFIRMED
source,m6_cache_20260824T181908,6,,,,81,0.023,,2.089665008721347e+18,649.0,SPURIOUS
batch,m6_cache_20260824T181908,7,20.0,0.0,0.0,0,0.0,0.0,,,
source,m6_cache_20260824T181908,7,,,,97,0.018,,3.394039537080897e+17,637.0,SPURIOUS
source,m6_cache_20260824T181908,7,,,,95,0.017,,1.529570212114866e+18,781.0,SPURIOUS
source,m6_cache_20260824T181908,7,,,,74,0.019,,2.9778914584427996e+18,576.0,SPURIOUS
source,m6_cache_20260824T181908,7,,,,97,0.019,,5.307050642533912e+18,637.0,SPURIOUS
source,m6_cache_20260824T181908,7,,,,77,0.019,,2.764969554255024e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,7,,,,115,0.021,,3.4187694390601503e+18,824.0,CONFIRMED
source,m6_cache_20260824T181908,7,,,,90,0.022,,1.3966512135052408e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,7,,,,81,0.021,,3.598782754069068e+18,649.0,SPURIOUS
source,m6_cache_20260824T181908,7,,,,74,0.021,,1.598448744386624e+17,576.0,SPURIOUS
source,m6_cache_20260824T181908,7,,,,88,0.019,,4.2630717049597435e+18,702.0,SPURIOUS
source,m6_cache_20260824T181908,7,,,,97,0.021,,5.080167483275376e+18,637.0,SPURIOUS
source,m6_cache_20260824T181908,7,,,,75,0.021,,4.690739122056717e+18,597.0,SPURIOUS
source,m6_cache_20260824T181908,7,,,,81,0.021,,5.851667407832654e+18,649.0,SPURIOUS
source,m6_cache_20260824T181908,7,,,,73,0.023,,4.905858464653859e+18,608.0,SPURIOUS
source,m6_cache_20260824T181908,7,,,,81,0.025,,5.334123401959325e+18,649.0,SPURIOUS
source,m6_cache_20260824T181908,7,,,,81,0.021,,1.9837490879780895e+18,649.0,SPURIOUS
source,m6_cache_20260824T181908,7,,,,62,0.022,,2.0577148114271345e+18,515.0,SPURIOUS
source,m6_cache_20260824T181908,7,,,,97,0.025,,5.913084821648556e+18,637.0,SPURIOUS
source,m6_cache_20260824T181908,7,,,,81,0.024,,8.131357197198595e+17,649.0,SPURIOUS
source,m6_cache_20260824T181908,7,,,,74,0.023,,2.331509639364324e+17,576.0,SPURIOUS
batch,m6_cache_20260824T181908,8,20.0,1.0,0.0,0,0.0,0.0,,,
source,m6_cache_20260824T181908,8,,,,81,0.024,,2.094243478217711e+18,649.0,SPURIOUS
