source_id,ra,dec,w3sky,w4sky,w3conf,w4conf,w3sigsk,w4sigsk,w3rchi2,w4rchi2,nb,na,ext_flg,w3snr,w4snr,dist_x,designation_aw,glat,ecl_lat
1995372983169511296,348.6782451736958,53.38523792834623,1374.794,388.862,5.412,1.721,27.74,10.597,1.038,0.9742,2,0,1,3.9,2.7,0.495638,J231442.82+532306.5,-6.790453133826673,51.53660002354235
1995498121335143424,347.2133118614412,53.324071294617816,1335.05,381.026,5.964,2.153,28.653,9.862,0.9561,1.059,2,1,0,3.0,3.1,0.207684,J230851.17+531926.7,-6.517071210130498,52.03888930712169
1996134120093134976,351.51838042131885,55.036929176856674,1343.434,378.939,2.653,1.687,24.811,11.099,1.024,0.8257,2,0,0,4.9,2.2,0.551176,J232604.37+550213.4,-5.816727672301749,51.76847825631407
1997031600760535424,351.3903560010166,56.01165840222688,1361.516,377.244,0.0,0.0,23.36,10.479,0.9701,0.9652,2,1,0,3.9,2.4,0.296418,J232533.69+560041.6,-4.871684824865196,52.56281502352041
1997202746617348224,349.56785583071184,56.44834355011283,1357.184,375.895,4.066,2.665,24.718,10.3,0.937,1.055,2,1,0,2.6,3.0,0.172908,J231816.26+562653.9,-4.116703767799007,53.55489042349527
1997308123631913984,350.56388983889485,56.82978884055097,1412.087,389.464,6.647,3.611,26.64,11.927,0.853,0.8705,1,0,0,2.8,2.2,0.161492,J232215.31+564947.1,-3.948099145008695,53.48086384269801
1997333107464548096,351.339795938625,57.072233391317575,1480.403,403.697,7.242,3.389,27.451,10.692,1.12,1.724,1,0,0,19.3,19.1,0.588015,J232521.48+570419.8,-3.860318994472067,53.384139465832206
1997539162815187200,355.86487915233045,55.96374009475191,1429.564,399.362,0.977,2.893,24.103,9.928,0.9459,1.008,1,0,0,5.7,3.7,0.181629,J234327.55+555749.3,-5.654119771800937,50.92820988357197
1997566096551243136,354.5365608293889,55.824658670148885,1466.074,403.343,0.0,0.0,19.854,10.434,1.062,1.015,1,0,0,9.0,3.7,0.17805,J233808.75+554928.6,-5.58592935060635,51.2905784591716
1997682374204840192,353.32150570490296,55.79872903668358,1431.92,396.975,2.748,3.084,25.854,11.03,1.002,0.8974,1,0,0,3.4,2.1,0.43452,J233317.20+554755.5,-5.412702714621262,51.70434777602455
1997689654168856832,353.74916992130187,55.92488145419399,1419.324,394.12,11.697,2.243,30.959,11.376,0.7502,0.9592,1,0,0,3.9,3.1,0.056381,J233459.79+555529.5,-5.36319260537963,51.648579040001614
1997790877959364992,354.1758801548736,56.21207830547317,1484.663,405.359,0.0,3.168,24.331,10.542,1.07,1.04,1,0,0,12.5,6.1,0.122534,J233642.22+561243.5,-5.1572375496142095,51.71776324841367
1997796787830504064,354.7163346866149,56.389064742862615,1447.955,401.727,4.5,1.663,27.032,10.635,0.8692,0.9205,1,0,0,7.1,3.1,0.380447,J233851.88+562320.3,-5.072083069799832,51.662446599354965
1997873036393836544,354.9161174888848,56.95433719255037,1458.382,396.728,2.471,2.295,19.624,10.007,1.171,0.9316,1,0,0,13.7,3.6,0.291384,J233939.85+565715.3,-4.559237324441347,52.0258202857684
1997884065863339392,355.6825321658779,56.9592911409816,1443.85,398.886,1.115,0.545,22.549,9.65,1.073,1.015,1,0,0,9.9,4.9,0.620753,J234243.74+565733.1,-4.667044137827834,51.76115882954211
1998120112971279360,359.9684964204789,57.72472133338536,1448.031,401.528,1.73,1.409,25.488,10.259,1.067,1.074,1,0,0,5.5,2.6,0.040057,J235952.44+574328.9,-4.458325340523988,50.88133186352217
1998126503879270784,358.0658213370772,57.23522165649701,1429.793,395.947,3.29,2.933,24.281,10.338,0.9257,0.9982,2,1,0,4.5,2.9,0.115868,J235215.80+571406.7,-4.717985070492306,51.148643082779074
1998327409574369280,357.4898329018911,57.92562323583152,1481.338,405.46,1.564,2.883,22.187,11.37,1.277,0.8717,1,0,0,17.1,5.4,0.232194,J234957.56+575532.0,-3.974752248609357,51.877090750401955
1998594419101544064,353.7254700521604,57.100281239090776,1509.491,407.596,4.686,2.28,24.096,8.523,1.018,1.048,1,0,0,2.9,3.7,0.224483,J233454.09+570600.8,-4.235399770063012,52.55642532443138
1998684093719131008,354.0835855246221,57.094463710399545,1458.022,398.159,2.386,1.814,24.003,9.746,0.9385,1.004,2,1,0,2.3,3.2,0.306937,J233620.02+570540.2,-4.297361196656565,52.425635199159416
1998793529483860608,352.958312933428,57.14876162952947,1473.098,398.982,5.091,1.474,26.279,10.401,0.9553,1.075,1,0,0,5.7,4.8,0.05995,J233149.98+570855.5,-4.064979723069957,52.86474435239748
1998832978763334400,352.387553125611,57.224312615204354,1509.208,403.678,2.04,1.277,24.813,10.003,0.9576,0.9884,1,0,0,5.0,3.2,0.282112,J232932.97+571327.5,-3.8978792169293035,53.12454044973709
1998839983851014656,352.6632112145616,57.46802997648439,1488.281,402.096,6.7,2.213,31.243,11.045,0.7449,0.8902,2,0,0,7.2,2.8,0.151303,J233039.15+572804.8,-3.7122646950062,53.21023333073005
1998871526087430144,353.55342301135965,57.76096651971425,1464.733,398.366,1.486,0.245,25.99,8.984,0.9576,1.083,2,0,0,5.4,3.8,0.264548,J233412.84+574539.3,-3.576647563401432,53.116586849027165
1998893275802462592,353.65347038597645,58.080489903393406,1469.737,398.23,9.288,2.543,28.892,10.077,0.892,0.9966,1,0,0,7.1,2.6,0.228247,J233436.81+580449.9,-3.286872538459571,53.3214967141056
1998952030955822336,354.82890817830395,58.11846573707618,1498.773,404.503,5.043,1.386,21.626,8.985,1.029,1.007,2,1,0,4.6,2.6,0.139901,J233918.95+580706.4,-3.427263909256422,52.940314562769146
1999210484906013312,358.7101009004033,58.83766481414705,1541.509,413.368,3.151,1.949,29.325,10.801,1.415,1.257,2,0,0,17.0,11.8,0.228685,J235450.43+585015.8,-3.2319346277530943,52.160032119090516
1999263433265353728,358.8200592376181,59.02605333886656,1558.939,413.426,0.0,0.0,34.856,11.989,0.8602,0.9727,2,0,0,4.8,4.1,0.125522,J235516.80+590133.6,-3.0603544329187167,52.26651897172408
1999486496686530816,358.7345204820927,59.45275422502411,1468.899,395.257,0.0,0.0,31.463,9.897,0.7331,1.08,1,0,0,3.0,2.2,0.415535,J235456.23+592709.8,-2.6343182383845507,52.61843714846202
2000221623288839296,337.412916873122,50.61447424671041,1290.324,370.528,4.509,2.79,26.329,10.393,0.9162,0.9442,1,0,0,5.3,3.0,0.04782,J222939.09+503652.1,-6.178891451482582,53.71287595320598
2000930773929338240,335.569332559034,51.515802044406136,1271.691,364.268,0.0,0.0,27.358,10.716,1.089,1.036,1,0,0,2.4,2.1,0.164741,J222216.65+513056.9,-4.800506054493865,55.141433819448665
2001273031294810752,334.4617235118236,52.42760662518916,1389.21,380.735,11.126,4.496,31.555,11.204,0.8019,0.9737,1,0,0,6.9,5.7,0.774956,J221750.73+522539.1,-3.663948420484455,56.27870570238283
2002654400148921088,343.86450083552023,54.56157003514342,1310.154,367.976,3.707,0.855,25.873,10.262,1.045,1.052,1,0,0,2.4,2.8,0.177842,J225527.48+543341.4,-4.580099600152119,54.25316667821289
2002816608171690496,342.71073326122485,54.8019580878449,1311.601,365.515,7.968,3.455,27.376,10.796,0.9837,0.8779,2,1,0,3.5,2.1,0.091232,J225050.58+544807.0,-4.070496180714129,54.8726492801124
2003795482757602560,343.80154754116177,56.179125779650455,1441.317,388.585,3.58,1.242,28.193,11.037,0.9094,0.893,1,0,0,2.7,3.2,0.501799,J225512.31+561045.0,-3.1064210049502647,55.48631229768589
2003797235104671488,344.15028163641705,56.28745679918114,1444.0,389.025,5.214,2.978,27.057,9.835,1.171,0.9521,2,0,0,12.3,5.2,0.077072,J225636.07+561714.9,-3.092092154579752,55.43560255076365
