band,donor,f_true,inject_psf,recover_psf,f_rec,ratio,lam_um
3-long,con,0.02,gauss,epsf,0.02380695427100836,1.190347713550418,16.854999815113842
3-long,con,0.02,epsf,gauss,0.015393035434197094,0.7696517717098547,16.854999815113842
3-long,con,0.02,epsf,epsf,0.019631535096849215,0.9815767548424608,16.854999815113842
3-long,con,0.05,gauss,gauss,0.049714258404531454,0.9942851680906291,16.854999815113842
3-long,con,0.05,gauss,epsf,0.053173124819013824,1.0634624963802763,16.854999815113842
3-long,con,0.05,epsf,gauss,0.04592563223250445,0.9185126446500889,16.854999815113842
3-long,con,0.05,epsf,epsf,0.05010650649271392,1.0021301298542784,16.854999815113842
3-long,con,0.1,gauss,gauss,0.09989319254766316,0.9989319254766316,16.854999815113842
3-long,con,0.1,gauss,epsf,0.10333389554982268,1.0333389554982269,16.854999815113842
3-long,con,0.1,epsf,gauss,0.0955840626066653,0.955840626066653,16.854999815113842
3-long,con,0.1,epsf,epsf,0.09969921140750075,0.9969921140750074,16.854999815113842
3-long,con,0.3,gauss,gauss,0.30017846218374383,1.0005948739458128,16.854999815113842
3-long,con,0.3,gauss,epsf,0.30316428537220724,1.0105476179073576,16.854999815113842
3-long,con,0.3,epsf,gauss,0.2953763958358493,0.9845879861194977,16.854999815113842
3-long,con,0.3,epsf,epsf,0.29897341797096755,0.9965780599032252,16.854999815113842
3-medium,con,0.01,gauss,gauss,0.009872843230059849,0.9872843230059849,14.593750124564394
3-medium,con,0.01,gauss,epsf,0.01966287013943274,1.9662870139432738,14.593750124564394
3-medium,con,0.01,epsf,gauss,0.00016688120705529407,0.016688120705529406,14.593750124564394
3-medium,con,0.01,epsf,epsf,0.010314122147801644,1.0314122147801643,14.593750124564394
3-medium,con,0.02,gauss,gauss,0.01939404955707588,0.9697024778537939,14.593750124564394
3-medium,con,0.02,gauss,epsf,0.029238460566419468,1.4619230283209734,14.593750124564394
3-medium,con,0.02,epsf,gauss,0.009687203174606118,0.4843601587303059,14.593750124564394
3-medium,con,0.02,epsf,epsf,0.019788833281560735,0.9894416640780368,14.593750124564394
3-medium,con,0.05,gauss,gauss,0.04932455945110808,0.9864911890221615,14.593750124564394
3-medium,con,0.05,gauss,epsf,0.059092699858161256,1.1818539971632251,14.593750124564394
3-medium,con,0.05,epsf,gauss,0.039603625630296124,0.7920725126059225,14.593750124564394
3-medium,con,0.05,epsf,epsf,0.04964549978055808,0.9929099956111616,14.593750124564394
3-medium,con,0.1,gauss,gauss,0.10109730336470432,1.010973033647043,14.593750124564394
3-medium,con,0.1,gauss,epsf,0.11077915930336985,1.1077915930336983,14.593750124564394
3-medium,con,0.1,epsf,gauss,0.09018692303078735,0.9018692303078735,14.593750124564394
3-medium,con,0.1,epsf,epsf,0.10014141596262366,1.0014141596262365,14.593750124564394
3-medium,con,0.3,gauss,gauss,0.30021435633478827,1.000714521115961,14.593750124564394
3-medium,con,0.3,gauss,epsf,0.3089640454366914,1.0298801514556382,14.593750124564394
3-medium,con,0.3,epsf,gauss,0.29090911059574465,0.9696970353191489,14.593750124564394
3-medium,con,0.3,epsf,epsf,0.3000669988111368,1.000223329370456,14.593750124564394
3-short,con,0.01,gauss,gauss,0.010161043846573393,1.0161043846573392,12.630000166594982
3-short,con,0.01,gauss,epsf,0.019700028224032645,1.9700028224032644,12.630000166594982
3-short,con,0.01,epsf,gauss,0.00048414430550681683,0.04841443055068168,12.630000166594982
3-short,con,0.01,epsf,epsf,0.0095613353361564,0.95613353361564,12.630000166594982
3-short,con,0.02,gauss,gauss,0.019970597340327533,0.9985298670163767,12.630000166594982
3-short,con,0.02,gauss,epsf,0.02944157811446395,1.4720789057231976,12.630000166594982
3-short,con,0.02,epsf,gauss,0.010820419969352752,0.5410209984676376,12.630000166594982
3-short,con,0.02,epsf,epsf,0.01966185531445252,0.9830927657226259,12.630000166594982
3-short,con,0.05,gauss,gauss,0.04979221808346036,0.9958443616692072,12.630000166594982
3-short,con,0.05,gauss,epsf,0.05909787661113345,1.181957532222669,12.630000166594982
3-short,con,0.05,epsf,gauss,0.040763181732910936,0.8152636346582187,12.630000166594982
3-short,con,0.05,epsf,epsf,0.0496347473704094,0.9926949474081879,12.630000166594982
3-short,con,0.1,gauss,gauss,0.10017192493319031,1.0017192493319031,12.630000166594982
3-short,con,0.1,gauss,epsf,0.10909912308869857,1.0909912308869856,12.630000166594982
3-short,con,0.1,epsf,gauss,0.09207202853156782,0.9207202853156782,12.630000166594982
3-short,con,0.1,epsf,epsf,0.10049421759839437,1.0049421759839436,12.630000166594982
3-short,con,0.3,gauss,gauss,0.30008590742355823,1.0002863580785275,12.630000166594982
3-short,con,0.3,gauss,epsf,0.30722736914383686,1.0240912304794563,12.630000166594982
3-short,con,0.3,epsf,gauss,0.29313754710379647,0.9771251570126549,12.630000166594982
3-short,con,0.3,epsf,epsf,0.3000700544788579,1.0002335149295263,12.630000166594982
4-long,con,0.01,gauss,gauss,0.009330377840900943,0.9330377840900943,26.81799963954836
4-long,con,0.01,gauss,epsf,-0.09248424499051583,-9.248424499051582,26.81799963954836
4-long,con,0.01,epsf,gauss,0.15313720891718186,15.313720891718186,26.81799963954836
4-long,con,0.01,epsf,epsf,0.010933087129252445,1.0933087129252446,26.81799963954836
4-long,con,0.02,gauss,gauss,0.019960911252363663,0.9980455626181831,26.81799963954836
4-long,con,0.02,gauss,epsf,-0.08141197452524969,-4.070598726262484,26.81799963954836
4-long,con,0.02,epsf,gauss,0.1643624774376247,8.218123871881234,26.81799963954836
4-long,con,0.02,epsf,epsf,0.029049746107107997,1.4524873053554,26.81799963954836
4-long,con,0.05,gauss,gauss,0.04959697220614712,0.9919394441229424,26.81799963954836
4-long,con,0.05,gauss,epsf,-0.05213770489876268,-1.0427540979752536,26.81799963954836
