source_id,ra,dec,w3sky,w4sky,w3conf,w4conf,w3sigsk,w4sigsk,w3rchi2,w4rchi2,nb,na,ext_flg,w3snr,w4snr,dist_x,designation_aw,glat,ecl_lat
182610911233404160,82.03602413982226,34.085029920018584,3050.738,961.389,7.187,3.888,33.12,12.173,1.156,1.026,1,0,0,9.1,5.2,0.225368,J052808.66+340506.1,-0.37160669314253925,10.831042006821173
182657679134337152,82.45134963189886,34.63810471645652,3058.055,959.167,20.441,4.96,40.074,12.645,1.145,1.04,1,0,0,9.3,5.7,0.282929,J052948.30+343817.3,0.2199857314462457,11.36453184306475
182686399575787136,80.994826017462,33.73449159102127,3071.745,977.618,13.928,4.399,34.164,12.588,2.263,1.814,3,0,0,14.8,9.5,0.993775,J052358.68+334404.5,-1.2839950181061064,10.532739132834452
182905683426824064,81.37176795233228,35.076467804401986,3033.885,947.435,11.1,4.014,33.537,10.495,1.257,1.196,2,0,0,9.9,4.9,0.24748,J052529.21+350435.4,-0.27257602532913383,11.852791077732931
182943788377290368,81.48435011815769,35.297070675689675,3038.005,946.037,17.934,5.275,35.648,12.917,1.939,1.143,2,1,0,16.6,8.0,0.268593,J052556.25+351749.7,-0.07279917861579475,12.067412137896978
183248288677757568,82.19645850972407,35.24268460280131,2969.509,935.713,6.524,2.191,33.868,10.961,0.9896,1.122,1,0,0,6.0,4.1,0.382868,J052847.15+351434.0,0.3799336046192913,11.979557188049395
183606862606935168,79.84685643221084,34.996631556899224,3075.25,951.384,5.847,2.263,40.166,12.048,1.66,1.048,2,0,0,10.6,4.9,0.225747,J051923.23+345948.0,-1.3463958178644588,11.855932205911152
183700595974425472,81.36573568597252,35.50289956127712,3063.682,948.735,11.63,4.243,40.826,13.332,0.8262,0.9509,2,0,0,3.9,3.8,0.055006,J052527.77+353010.4,-0.037614871561175774,12.278728117962752
187807340624016640,79.79755277929068,38.82827563472552,2792.444,862.464,6.739,1.117,33.113,11.922,0.9834,1.179,3,0,0,5.0,4.1,0.273342,J051911.39+384941.9,0.8195144908094087,15.68037768241441
189189117500843008,84.85793810189968,36.20961089925528,3112.143,946.436,1.482,2.537,37.687,15.186,2.484,1.582,3,0,0,11.3,8.0,0.273436,J053925.88+361234.7,2.719465126397866,12.84622471667653
189241516103470336,83.97258716869405,36.37660729992287,3153.907,968.316,10.999,5.85,50.786,15.199,0.5079,0.7979,2,0,0,4.8,4.5,0.166958,J053553.40+362235.7,2.205737279588037,13.041432155547248
189252305061677824,84.11234038681502,36.69753600297269,2968.044,919.391,7.045,1.858,50.47,14.37,1.25,1.125,1,0,0,8.6,9.3,0.480396,J053626.93+364151.4,2.4729788537079243,13.35731044512672
189260517037944704,84.41187145254206,36.638970859805575,2899.229,901.061,11.242,0.896,31.487,11.387,0.975,1.045,1,0,0,4.5,3.6,0.081304,J053738.85+363820.3,2.6444624610091934,13.288975300060994
189486952011914496,83.8136576073405,37.0868748128164,2868.572,895.18,6.101,2.017,33.845,11.129,1.008,1.057,1,0,0,5.6,4.4,0.098023,J053515.28+370512.8,2.481198886658811,13.756568027745292
205800337313384448,76.00293575546853,44.85034499230452,2505.419,746.821,5.143,1.727,36.222,12.875,1.466,1.249,1,0,0,14.4,7.7,0.520352,J050400.66+445101.4,2.094363292074633,21.92729880142303
216549472221300992,55.06156889265733,31.456800668588453,3164.804,969.101,66.879,9.228,41.99,12.649,0.9595,1.16,1,0,0,5.5,5.0,0.217416,J034014.76+312724.6,-18.93135854926491,11.573904266476932
216701544127953536,56.30025725042049,32.19474335152563,3423.106,1020.471,54.996,11.854,32.888,16.153,2.977,2.204,1,0,0,25.8,12.2,0.105571,J034512.06+321141.1,-17.692019802069556,12.05108000820785
217188112383909120,57.67981286909673,33.35391545709071,2851.136,895.305,6.559,3.38,32.438,10.438,0.9945,0.9561,1,0,0,3.8,3.7,0.238429,J035043.15+332114.3,-16.057616431570626,12.923886674299467
217414650433979136,54.975840252762815,32.39457383806936,3106.774,933.865,16.282,3.471,32.99,12.008,1.109,1.018,1,0,0,3.7,4.3,0.321245,J033954.18+322340.6,-18.249132027927203,12.502792428020483
217420147990826752,55.01932079460268,32.528622128181325,3115.75,929.392,7.963,1.588,41.875,12.529,1.039,1.205,2,0,0,5.6,5.0,0.291635,J034004.61+323143.2,-18.12181062647734,12.624550448967817
217459588675462656,55.43127838289131,32.412056865050545,3099.855,938.767,14.518,4.253,34.664,11.483,1.287,1.023,1,0,0,11.8,4.9,0.225075,J034143.50+322443.6,-17.99302146298731,12.430403140481404
219245818333825664,61.48821708098444,36.06890982611251,3071.127,918.601,5.791,2.598,38.69,13.406,1.683,1.471,1,0,0,15.9,7.3,0.51953,J040557.14+360408.4,-11.946815409060074,14.930251674263006
219268220880783360,61.11463340120041,36.33159151750867,2887.299,871.624,8.371,0.224,34.315,11.897,1.025,1.051,1,0,0,6.6,6.8,0.545082,J040427.47+361954.0,-11.959606036785342,15.247381517709126
219535982027057408,60.38913268072776,36.79798485467513,2937.55,877.028,0.0,0.0,51.756,12.777,0.5534,1.356,3,0,0,4.0,7.8,0.207412,J040133.40+364752.6,-12.008805359508843,15.821729493505671
220182293002579456,59.48835953315277,36.69305078198953,2812.367,855.469,22.72,6.359,42.151,11.569,1.089,1.382,1,0,0,7.3,8.6,0.156232,J035757.19+364135.0,-12.56842811002616,15.868571920656048
220335674873600000,59.704797942004674,37.108447343947326,3105.759,914.885,2.039,2.8,57.72,21.453,1.374,1.066,1,0,0,13.0,5.7,0.10636,J035849.14+370630.3,-12.142794115637276,16.238495605252883
220446240215342336,58.94983896568532,37.26404182199781,2879.249,871.08,1.67,2.067,34.415,12.346,0.8904,0.8428,1,0,0,4.0,3.6,0.195072,J035547.97+371550.6,-12.423117810324271,16.517777959883176
225198295109397248,61.77558612315251,35.95660780223829,2767.409,860.529,5.264,2.275,33.226,11.698,0.8875,1.074,1,0,0,5.0,4.2,0.101371,J040706.14+355723.7,-11.869715722196698,14.77466663336159
240152890198411904,45.86513674653379,41.76921452377392,2274.323,687.961,8.826,2.537,28.882,10.634,1.033,1.124,1,0,0,4.8,3.6,0.177704,J030327.63+414609.3,-14.65005042883283,23.468145307538013
247685133264868352,61.76677985180502,50.82483872762428,2370.648,659.827,5.865,2.776,34.195,10.953,0.8384,1.048,1,0,0,4.7,3.6,0.156714,J040704.02+504929.5,-0.9187794565123751,29.332044627577183
251272599185908224,58.25279931032211,51.24240687987413,2263.806,639.431,3.846,1.797,32.831,11.131,1.057,1.135,1,0,0,9.6,7.3,0.325392,J035300.64+511432.9,-2.0446606006766257,30.2446720839784
251638800979951872,58.90785265261293,51.31508313402543,2281.387,641.253,3.282,2.651,31.928,10.745,0.9165,1.029,2,1,0,8.0,4.9,0.14913,J035537.88+511854.4,-1.7274384762010473,30.216882382907446
252058853079711872,58.74197081781245,53.433363811671526,2378.774,644.248,14.816,4.929,37.068,12.346,1.64,1.481,1,0,0,12.6,7.6,0.861343,J035458.04+532600.9,-0.16450014252803702,32.297167535069825
254922634193672448,74.14656395029108,47.357038353494026,2422.803,707.613,4.398,1.169,35.779,13.364,1.816,1.068,2,1,0,12.8,6.0,0.113627,J045635.18+472125.4,2.6233216020131893,24.56179331193122
258443098626568576,68.49061692076287,48.91817476531371,2350.46,674.817,3.437,1.44,29.159,10.886,1.122,1.07,3,0,0,8.2,4.1,0.219306,J043357.72+485505.4,0.7765441033834849,26.63996547840121
271495091923795072,64.96807323798787,50.88327448720268,2333.46,696.325,7.032,3.095,33.806,14.408,0.8155,1.242,1,0,0,7.0,10.1,0.495231,J041952.30+505300.1,0.5115811589970611,28.976662060555526
271889438640757248,64.4433262113923,52.3310187294836,2301.844,638.135,6.687,1.471,31.128,11.556,1.145,0.8706,1,0,0,8.1,4.4,0.118524,J041746.41+521951.6,1.3174554975224797,30.460179965602475
272101811883235584,67.81480448547187,52.79389099605829,2135.867,615.089,6.278,1.239,30.103,10.922,1.262,1.001,1,0,0,9.1,4.2,0.190082,J043115.54+524738.1,3.10436437381211,30.532049216073013
275445774638815872,65.98360896750063,53.949273226940406,2097.469,600.991,10.832,4.345,30.902,10.939,0.9301,0.9971,1,0,0,6.2,5.1,0.392046,J042356.04+535657.7,3.116250827635569,31.86733287170995
275542836603642496,66.9361929206012,54.71587547184795,2099.325,598.154,5.036,1.881,31.529,11.427,1.007,1.086,1,0,0,4.6,4.0,0.216931,J042744.66+544257.0,4.048677455661415,32.51603432409953
310640179768135936,19.59903516219142,31.95232136376459,2164.506,659.274,3.942,2.897,28.311,10.724,0.9515,0.9829,1,0,0,4.9,4.5,0.269497,J011823.74+315708.4,-30.571555354213896,21.859456976752707
321869453367182080,19.81049423598867,37.32872805215158,1962.202,587.56,4.93,2.819,29.615,10.834,1.009,2.344,1,0,0,3.7,6.1,0.126897,J011914.52+371943.3,-25.21316340366125,26.689292473630015
349126552778518144,27.498660386449178,42.689033055414136,1939.494,576.287,4.698,1.864,29.053,10.266,0.9423,1.095,1,0,0,4.8,4.3,0.169244,J014959.67+424120.3,-18.891565465360703,29.148089315669004
354428986259904640,36.6860854124105,48.24382033277042,1977.221,577.15,4.078,3.687,29.498,10.913,1.039,0.9524,1,0,0,3.8,3.5,0.115681,J022644.66+481437.8,-11.65549792385295,31.74680208505135
380829080780995456,9.239164694453542,40.74624723334097,1711.433,506.938,3.516,3.245,28.474,10.914,1.042,0.9323,1,0,0,4.8,3.7,0.076619,J003657.39+404446.4,-22.04230418326783,33.398914724891995
381119493583484672,9.965223285399942,40.38037925360926,1784.336,522.282,3.769,1.532,29.311,10.831,0.9602,1.229,3,0,0,3.7,4.9,0.168192,J003951.66+402249.3,-22.437753426628518,32.81736948787107
408225234052092288,28.2714498759682,53.67129975357648,1791.523,509.564,4.581,2.483,31.747,10.885,0.8003,0.9948,1,0,0,5.6,3.9,0.23966,J015305.12+534016.7,-8.101618840502711,38.8686581792535
410183017584971904,18.61787466501292,52.61588101613702,1616.005,455.98,5.75,2.834,29.491,10.78,1.066,1.031,1,0,0,10.2,4.0,0.125828,J011428.27+523657.2,-10.097140247397684,40.685881700809546
412260716605216896,23.01533661113396,55.70739238122126,1765.389,493.045,4.903,2.279,30.574,10.545,1.097,1.06,1,0,0,8.3,4.6,0.097934,J013203.68+554226.7,-6.710884256232097,42.0958661411604
414663218229795584,11.452371138832412,49.7117249981686,1579.349,454.374,4.96,2.478,28.702,10.222,0.8733,1.053,2,0,0,4.9,3.7,0.364602,J004548.54+494242.4,-13.149813907088841,40.45005163478109
416959312041689984,10.981547294468193,52.84803404934455,1545.406,437.715,2.292,2.111,28.878,10.422,0.9509,1.022,1,0,0,5.7,3.6,0.344482,J004355.53+525053.0,-10.006919822310715,43.27530983252781
417703062949315072,12.132069776103624,55.69048115232031,1574.06,439.578,6.991,3.487,30.54,10.514,1.017,1.053,3,0,0,5.7,4.8,0.086266,J004831.70+554125.7,-7.178934189150415,45.29375148410407
417742641063196928,10.262259969917656,53.4837515666956,1518.578,431.998,3.117,1.621,27.266,10.263,0.9323,1.012,2,1,0,4.0,3.9,0.173977,J004102.92+532901.6,-9.356407315273726,44.04322709865908
418683208844394880,8.16392559083448,56.305712643655205,1517.546,422.595,5.495,2.421,29.561,10.555,0.9143,1.031,1,0,0,5.8,4.7,0.109776,J003239.32+561820.5,-6.470475387501447,47.05577053599724
418711688764811904,9.303505626817806,56.093139321679296,1521.215,425.104,0.0,0.0,26.796,10.535,1.05,1.076,1,0,0,8.1,3.8,0.26529,J003712.81+560535.4,-6.723460831584774,46.51772173509403
421554029404145408,5.849537849824253,56.54346502731133,1477.754,411.249,0.0,1.105,30.562,10.585,0.9405,0.9336,1,0,0,7.5,3.9,0.285982,J002323.85+563236.6,-6.1168988344885395,47.996966268165686
