source_id,nss_solution_type,route,ext_ref,sep_arcsec,period,a0_mas,inc_deg,nss_parallax,significance,phot_g_mean_mag,ext_a0_mas,ext_a0_err_mas,a0_err_mas,ratio,z
3383741472501445888,Orbital,HIP-DMSA/O,HIP1997d(DMSA/O),0.055920536567694655,579.8369152028085,2.198326216015193,93.32244543953817,3.241125347313456,29.772886,6.0097904,2.92,1.13,0.09250582913725895,0.7528514438408196,-0.6365200626296798
3598849446322133248,Orbital,ORB6-g9,Ren2013,0.035226438155452025,488.1674499508298,6.5905664762386,73.70700638484418,10.57373810400284,26.938126,5.3416977,2.4,0.3,0.9456164076292443,2.746069365099417,4.224090110833567
4252772579608962816,Orbital,ORB6-g9,Jnc2005,0.23422388782762993,481.5911199231961,6.393250954139658,61.901276950928334,12.744351743746217,42.179546,5.85451,6.41,0.53,0.4373936311003202,0.9973870443275598,-0.02437367497648531
4376816938736581504,Orbital,HIP-DMSA/O,HIP1997d(DMSA/O),0.6550869222165098,418.9951896775452,3.96525409756436,119.81001484515723,8.03237866214376,61.59926,5.335833,3.26,0.81,0.6983495236694658,1.2163356127498037,0.6594351305922735
4463317786234143616,AstroSpectroSB1,HIP-DMSA/O,HIP1997d(DMSA/O),1.9850304832057788,942.8358652772316,2.789557840353282,63.910194920141365,3.933604755199283,66.62818,6.976519,2.6,0.96,0.061642596089536594,1.0729068616743391,0.19705027676652517
4724313637321332864,OrbitalTargetedSearchValidated,ORB6-g9,SaJ2011,1.1276859639930883,561.6901045181323,9.787931566059894,170.60953571400754,19.889277548136437,303.42654,7.300081,10.8,0.7,0.046201855470308646,0.9062899598203605,-1.442673069056984
5009945558259331584,Orbital,HIP-DMSA/O,HIP1997d(DMSA/O),0.47829892294108234,582.378168028737,7.599052164507904,25.65987011371845,11.05048459583125,133.22464,5.1927147,8.08,1.19,0.2319568717478253,0.9404767530331564,-0.3966920437052336
5528844677832594688,OrbitalTargetedSearch,HIP-DMSA/O,HIP1997d(DMSA/O),1.5310064591108379,823.1115944956924,6.469603035397686,123.52305250938062,10.026033133835732,63.4223,7.6368175,5.27,0.79,0.10112678543854058,1.2276286594682517,1.5061945958972953
6069335903658036480,Orbital,ORB6-g9,Jnc2005,0.7304771601522184,434.9749918148073,5.981648173854507,66.21360961155294,12.339516492557928,21.77209,4.3834553,6.45,0.61,0.5814420563078352,0.9273873137758925,-0.5557629220529504
6097027546386964352,Orbital,ORB6-g9,Pbx2000a,1.1036702143871706,460.424894783932,3.7348208941146956,85.20761287374556,7.267041590703496,135.0957,9.16302,4.81,1.1,0.7967860021810044,0.7764700403564856,-0.7915861281685566
6512396139980581376,OrbitalTargetedSearch,ORB6-g9,Gln2007,1.6196426472800878,361.8278792510683,7.5166809540785575,47.23043860349878,20.82382668470653,60.68095,3.8416972,13.1,4.2,0.7746929968685394,0.573792439242638,-1.307309001805915
6672349380737067904,OrbitalTargetedSearch,ORB6-g9,SaJ2011,1.1024889607815787,506.3762114241631,1.9770412188476136,158.96473590865006,11.656887557709885,23.334435,8.120638,1.9,0.8,0.11095964371109855,1.0405480099197968,0.09538837423728315
6721115367146827520,Orbital,HIP-DMSA/O,HIP1997d(DMSA/O),1.742133719885188,682.7107969847252,9.907258675225536,75.06645230755281,12.278672417207668,74.48104,5.1719894,8.06,0.86,0.5809870622838377,1.229188421243863,1.7798788196403812
6813270659331371904,AstroSpectroSB1,ORB6-g9,Pbx2000a,0.9699131137356696,674.6353801707465,4.0487629752996215,113.84720935157011,5.775141171368971,145.32863,9.661786,3.44,1.4,2.66475690377906,1.1769659811917506,0.20223757950485097
