source_id,nss_solution_type,l,b,nss_parallax,phot_g_mean_mag,bp_rp,m1_used,m1_source,class_det,a_tr_margin,m2_min_dark,flag_low_lat,cuts_eb26,d_pc,dust_tier,E_zgr23_eden,ebv_sfd_raw,a_g_lower,a_g_upper,a_v_mag,m1_dust,m1_source_dust,class_det_dust,margin_dust,m1_dust_upper,m1_source_dust_upper,class_det_dust_upper,margin_dust_upper,sfd_lowb_unreliable
420306465962006528,Orbital,116.2399795170104,-7.773376196083868,0.7027082653338157,13.823051,0.984601,,evolved_bracket,1,0.493653998799303,0.7496242036299223,True,True,1423.0656580152197,edenhofer_floor,0.18343748577107638,0.33869575716954897,0.41698738459825807,0.759646084793345,0.5097870735719034,1.529815585753946,photometric_ms,1,0.5244158299420543,1.7580526230303577,photometric_ms,1,0.5320181515098343,False
420307599833339904,Orbital,116.19329458207054,-7.711820316710273,5.142946086413748,15.752069,1.9903784,0.4247124,binary_masses,3,2.4793756092228154,1.1115842147341612,True,True,194.44108166751454,edenhofer,0.02492929227900415,0.31467978936073177,0.05666889918170999,0.05666889918170999,0.06928044670756174,0.4247124,binary_masses,3,2.4793756092228154,0.4247124,binary_masses,3,2.4793756092228154,False
420387550643931008,AstroSpectroSB1,116.33682406473324,-7.813881226198697,0.6181195092279604,12.135671,1.6529589,,evolved_bracket,2,0.9404722957393686,1.7591987723681128,True,True,1617.8101242088499,edenhofer_floor,0.1804426549097605,0.35553065202544193,0.4101795792964959,0.7974043433320983,0.5014642051341058,,evolved_bracket,2,0.9404722957393686,,evolved_bracket,2,0.9404722957393686,False
420442839764561536,AstroSpectroSB1,116.24801447751852,-7.082006909193177,2.624655642720576,8.60448,1.3023939,,evolved_bracket,2,0.7591891336821156,1.3026607995333017,True,True,381.00236226168477,edenhofer,0.09791318369730546,0.27213406610435337,0.22257480370495722,0.22257480370495722,0.27210837071464006,,evolved_bracket,2,0.7591891336821156,,evolved_bracket,2,0.7591891336821156,False
420639755425839744,Orbital,117.1788096048614,-6.988483869740969,1.3622586691569565,12.802415,0.9089308,1.2725037260203707,photometric_ms,1,0.487212852603988,0.516971860596853,True,True,734.0749760974963,edenhofer,0.25651272686168436,0.399139881120396,0.583100943848013,0.583100943848013,0.7128688654398566,1.459876767583899,photometric_ms,1,0.48590522917868706,1.459876767583899,photometric_ms,1,0.48590522917868706,False
420710021089492864,Orbital,117.80154009482204,-6.707195023680022,0.9214530771690906,14.096709,0.99785995,,evolved_bracket,1,0.5241980750145728,0.8070510545354571,True,True,1085.2424553968858,edenhofer,0.30586955510115893,0.4385693946742554,0.6952981571554858,0.6952981571554858,0.8500353389293236,1.341158658725523,photometric_ms,2,0.56096148599606,1.341158658725523,photometric_ms,2,0.56096148599606,False
420760358106619520,AstroSpectroSB1,116.8344626943156,-6.387850509015187,0.5606540365050073,12.872098,1.6167831,,evolved_bracket,3,1.163699230965302,2.42772849127012,True,True,1783.6311430731469,edenhofer_floor,0.3330108097493264,0.4412972108905206,0.7569952565399518,0.989766453777551,0.9254630015032987,,evolved_bracket,3,1.163699230965302,,evolved_bracket,3,1.163699230965302,False
420769600876182528,Orbital,116.91268854114944,-6.147665016569961,0.9278827973948474,13.832621,1.1201849,,evolved_bracket,1,0.45737784980182583,0.683328884146061,True,True,1077.7223188183154,edenhofer,0.32607956074104044,0.4467002301311681,0.741239243619172,0.741239243619172,0.9062005201556101,1.4521977412305442,photometric_ms,1,0.49088743942246105,1.4521977412305442,photometric_ms,1,0.49088743942246105,False
420888485572283392,Orbital,116.14064950461707,-6.2953993661507575,0.5419409849943345,14.526135,1.4457426,,evolved_bracket,2,0.6456958585320868,1.0508705910798766,True,True,1845.2193646333171,edenhofer_floor,0.2132559182204578,0.36368167726106937,0.48477020503772095,0.815685925773642,0.5926548219657188,,evolved_bracket,2,0.6456958585320868,,evolved_bracket,2,0.6456958585320868,False
420924803816468096,AstroSpectroSB1,116.1541274302872,-5.959460227508426,1.2710719099733525,12.574342,1.4210463,,evolved_bracket,1,0.415216757760199,0.608799113742698,True,True,786.7375497433222,edenhofer,0.16444516651952212,0.3631229306159493,0.3738143248560193,0.3738143248560193,0.45700593774846543,,evolved_bracket,1,0.415216757760199,,evolved_bracket,1,0.415216757760199,False
420951192092897664,Orbital,116.6664562704153,-6.2562377450134,1.6796964588007433,13.997353,1.3270302,0.9357014880431935,photometric_ms,1,0.4240210590186931,0.323125682906111,True,True,595.345661866771,edenhofer,0.2866566302110598,0.4761701511465686,0.6516236199324705,0.6516236199324705,0.796641122838161,1.0282621260890443,photometric_ms,1,0.39899261113286905,1.0282621260890443,photometric_ms,1,0.39899261113286905,False
420976583939353216,Orbital,116.53089086543407,-5.766934880657104,0.8052316822846105,14.549845,1.0772943,,evolved_bracket,1,0.5202233595975405,0.7994933506300044,True,True,1241.8786071144034,edenhofer,0.26169721240294364,0.3893303849365345,0.5948862398427212,0.5948862398427212,0.727276954936639,1.2696518862499204,photometric_ms,2,0.5592237600359942,1.2696518862499204,photometric_ms,2,0.5592237600359942,False
421001116793283840,Orbital,116.62521645339676,-5.717244355672493,0.8866805574149021,14.726318,1.1668024,,evolved_bracket,2,0.5713700464705928,0.8987268355097433,True,True,1127.8018804376159,edenhofer,0.27075876595620313,0.3914281760016012,0.6154848296058093,0.6154848296058093,0.7524597186913504,1.1862291016782112,photometric_ms,2,0.6214192949988944,1.1862291016782112,photometric_ms,2,0.6214192949988944,False
