source_id,element,gaia,gaia_err,ref,ref_err,z,nss_solution_type,phot_g_mean_mag,significance
2208365672715184256,a_thiele_innes,-3.6741341722788983,0.0515903,-3.619900513088525,0.056397256,-0.709545651695097,OrbitalTargetedSearchValidated,8.316957,145.18106
2299519550340109696,a_thiele_innes,-0.6151517396550487,0.016890517,-0.6288862034081746,0.015365264,0.6014979449330873,OrbitalTargetedSearchValidated,8.905411,108.99855
2396173975404592512,a_thiele_innes,-0.9059280670589972,0.31030762,-0.5960891227002518,0.40073436,-0.6113245449770288,OrbitalTargetedSearchValidated,10.344408,44.767883
2843794470563210496,a_thiele_innes,0.4721400087177007,0.054234352,0.4506726597163988,0.048839446,0.29413795882090427,OrbitalTargetedSearchValidated,9.4896965,85.79761
2888649013058936448,a_thiele_innes,-1.9517628359648989,0.072729915,-2.003567859813001,0.101420216,0.4150955529250708,OrbitalTargetedSearchValidated,6.3955708,45.438797
2889380085212270080,a_thiele_innes,-6.717128879890521,0.94658023,-6.267504928743463,0.741285,-0.37397084734020325,OrbitalTargetedSearchValidated,8.012411,39.677383
2983397469077381632,a_thiele_innes,7.608040797202325,0.19943893,5.204693774495411,0.30473456,6.599040604692286,OrbitalTargetedSearchValidated,7.2549515,284.45303
3028470161558479232,a_thiele_innes,2.057938494700214,0.385997,1.9385687926503732,0.34336603,0.23106000269286814,OrbitalTargetedSearchValidated,8.797454,193.69704
3116065985196889216,a_thiele_innes,7.287428927975059,0.073749,7.322905448691537,0.06554801,-0.35955295126912656,OrbitalTargetedSearchValidated,9.299451,95.59481
3569106488558337792,a_thiele_innes,-1.839350675784738,0.17540644,2.0102104330739405,0.05948482,-20.78389997420099,OrbitalTargetedSearchValidated,6.9104433,117.27704
3579784327012046336,a_thiele_innes,0.5433796920491872,0.022122823,0.6378627207500812,0.031090828,-2.4760780898854984,OrbitalTargetedSearchValidated,6.6192145,52.140728
3603119331007599232,a_thiele_innes,1.4392763938275204,0.035194892,1.3341116293441868,0.06976344,1.345877211357732,OrbitalTargetedSearchValidated,9.509236,155.70648
3626268998574790656,a_thiele_innes,-2.9845152755679325,0.22227708,-3.1541511780903244,0.2510277,0.5059319515751473,OrbitalTargetedSearchValidated,7.3262544,123.12348
3638745672411053952,a_thiele_innes,-0.7939280388547971,0.015499665,-0.7641562099671991,0.04001056,-0.6938548850086003,OrbitalTargetedSearchValidated,7.2787375,56.2277
4133650458966620672,a_thiele_innes,-0.5206358507096355,0.05048598,-0.4074828248086969,0.068425484,-1.3306706070368224,OrbitalTargetedSearchValidated,7.451541,67.38386
4175134448570791040,a_thiele_innes,-0.1777083067202692,0.33510077,-0.2324296453149601,0.26768807,0.12758731283157307,OrbitalTargetedSearch,8.053742,10.915636
4354357901908595456,a_thiele_innes,0.4509931386392442,0.03581753,0.5105291644874111,0.045306724,-1.0308446089227286,OrbitalTargetedSearchValidated,9.374132,155.87837
4385502286022654464,a_thiele_innes,0.432240938926109,0.026744947,0.128476432600981,0.116781645,2.5354904607076856,OrbitalTargetedSearchValidated,7.600814,20.402788
4565244438273756928,a_thiele_innes,2.01315981246037,0.19277239,2.238800937600382,0.2820948,-0.6604058095793464,OrbitalTargetedSearch,7.4194126,29.844633
4594158089392172928,a_thiele_innes,0.1222023236081219,0.049150907,0.1178113999084106,0.05953163,0.0568773137970841,OrbitalTargetedSearchValidated,7.9860225,30.474245
4650689681594278272,a_thiele_innes,-0.5374424762335828,0.09503177,-0.8167432226100102,0.07704928,2.2829457605395596,OrbitalTargetedSearchValidated,7.4611964,147.30786
4748772376561143424,a_thiele_innes,-0.4027368322456483,0.037004385,-0.3827224819103781,0.028754523,-0.4270815243762865,OrbitalTargetedSearchValidated,9.462979,12.465732
4774328222246003840,a_thiele_innes,-0.5211724133572493,0.41719142,-0.6969011191436592,0.07058805,0.41531552202899547,OrbitalTargetedSearchValidated,6.38518,39.435493
4800235533695856256,a_thiele_innes,0.6269890889519684,0.11124784,0.5887957934067639,0.14288834,0.21090918917748727,OrbitalTargetedSearchValidated,10.251179,56.0083
4810832695483445760,a_thiele_innes,0.4554667180564511,0.024939742,0.4449623849202508,0.048778333,0.19173994064300406,OrbitalTargetedSearchValidated,7.326995,66.25578
4823703990915066880,a_thiele_innes,0.1329922068905132,0.12687439,0.3143385826972122,0.17362563,-0.8433076110011714,OrbitalTargetedSearchValidated,7.39755,17.947119
4826430745392206080,a_thiele_innes,-0.522778676467465,0.026753115,-0.3971180637311969,0.0694372,-1.6886978636969583,OrbitalTargetedSearch,9.219942,63.02847
4829273360906556672,a_thiele_innes,-0.2509843279369856,0.027527384,-0.2095883642903252,0.02352141,-1.1432847187302309,OrbitalTargetedSearchValidated,9.248538,14.623433
4830490966955576960,a_thiele_innes,-1.5057956610108598,0.10831015,-1.3946237107950326,0.075813055,-0.8408926606413529,OrbitalTargetedSearchValidated,10.027474,80.84463
4832672020067562624,a_thiele_innes,-3.092852565630689,0.04725739,-2.961570196500256,0.07764213,-1.4443596309799618,OrbitalTargetedSearchValidated,7.4915805,153.45572
4949308041743808384,a_thiele_innes,-2.6906577766213178,0.10252619,-2.661104400763711,0.10012495,-0.2062255915594874,OrbitalTargetedSearchValidated,7.636384,206.56854
4950186203640554880,a_thiele_innes,2.4543986115579344,0.039515626,2.4966781697828733,0.02718552,-0.8814867954658822,OrbitalTargetedSearchValidated,9.697532,313.92096
4963661822446609792,a_thiele_innes,-4.95451048021983,0.03710181,-4.961926532143878,0.039544564,0.13676522860284004,OrbitalTargetedSearchValidated,8.350293,89.46627
4972788662311608960,a_thiele_innes,3.916355517743895,0.01851983,3.9051501011117495,0.022001576,0.389637923398841,OrbitalTargetedSearchValidated,6.671975,229.30704
4994200964065634432,a_thiele_innes,2.0881051796444714,0.09171276,2.213447436346087,0.09316916,-0.958748263321962,OrbitalTargetedSearchValidated,7.2669106,98.807236
5013703860801457280,a_thiele_innes,0.0459807471127163,0.0718174,-0.095174717472388,0.10578625,1.1039747574498162,OrbitalTargetedSearchValidated,11.368364,28.764517
5041087953805187584,a_thiele_innes,0.7820879977649693,0.0159799,0.7569964529493742,0.019377405,0.9990044777857553,OrbitalTargetedSearchValidated,9.182839,68.53397
5045853099761604096,a_thiele_innes,-0.4916088350172974,0.08489217,-0.3595449721429664,0.12418314,-0.8779294890917004,OrbitalTargetedSearchValidated,8.319094,99.81239
5236430419447179776,a_thiele_innes,3.460727598603839,0.048120007,3.563961029159343,0.04881669,-1.5060379788307958,OrbitalTargetedSearchValidated,8.3485985,149.14534
5289793360842855808,a_thiele_innes,-3.676628399772093,0.18127812,-3.481756586695977,0.26382646,-0.6087777904321664,OrbitalTargetedSearchValidated,8.970252,247.68077
5294105439288288256,a_thiele_innes,0.7263340900735271,0.021090519,0.742015279133179,0.057745017,-0.2550782804785578,OrbitalTargetedSearch,7.326193,36.079514
5306416671004618240,a_thiele_innes,-0.9842511478620026,0.058736477,-1.0288739770593966,0.052421615,0.5668019497244167,OrbitalTargetedSearchValidated,7.0541396,140.64423
5391879235910368768,a_thiele_innes,1.088028095446574,0.016579587,1.086062730503765,0.017703095,0.08103083653645324,OrbitalTargetedSearchValidated,6.5723753,99.20277
5459518648630576768,a_thiele_innes,-0.7668605084072392,0.100016646,0.1700574235446499,0.36799398,-2.4568868305518854,OrbitalTargetedSearchValidated,9.190787,77.90908
5490419250399767680,a_thiele_innes,3.026162046966794,0.027838746,2.997327460822049,0.027328089,0.7391490896721308,OrbitalTargetedSearchValidated,8.663058,201.22491
5523408692342861696,a_thiele_innes,1.882283307750148,0.16105355,1.0755839300885075,1.1651182,0.6858541440501283,OrbitalTargetedSearchValidated,6.866736,153.29256
5526720593166247680,a_thiele_innes,0.8731305349883031,0.028417077,0.9405425077517268,0.030223044,-1.6249923234257577,OrbitalTargetedSearchValidated,6.8867536,44.160393
5545537291566200320,a_thiele_innes,4.170231127201552,0.049216047,4.171300354756263,0.04856946,-0.015463263420763155,OrbitalTargetedSearchValidated,7.756915,134.25081
5564490982239584768,a_thiele_innes,-1.3552639366875636,0.12559904,-1.6892962249736416,0.13668999,1.7994318293992246,OrbitalTargetedSearchValidated,6.5066237,123.90553
5629502218573747584,a_thiele_innes,1.379350941456953,0.102165475,1.7507399267055013,0.16665897,-1.8998681910697397,OrbitalTargetedSearchValidated,7.08174,139.55542
