rank,source_id,nss_solution_type,p_class3_corr,period,significance,sigma_ti2,phot_g_mean_mag,flag_alias_1yr,flag_low_lat,m2_min,queue_bin,flag_hi_sigma_ti2,flag_xray_active,xray_tested,flag_dust_unresolved_south,eb26_verdict
147,1396651213505240832,Orbital,1.0,191.35351991075368,55.315998,0.8928302207490775,14.387018,False,False,0.637869695994375,v2_main,False,False,True,False,
148,3598782754069068032,Orbital,1.0,861.9650416148448,112.61044,9.257207192702149,15.518477,False,False,0.6352621543103779,v2_main,False,False,True,False,
149,159844874438662400,Orbital,1.0,973.2867446506212,27.622816,0.1708020606413523,13.917914,False,True,0.6302545110790228,v2_main,False,False,True,False,
150,4263071704959743360,Orbital,1.0,546.7405077155291,34.935234,6.252894667931901,16.420698,False,True,0.6266743077607131,v2_main,False,False,True,False,
151,5080167483275376000,Orbital,1.0,833.5790823454626,45.7383,2.564811741609926,16.536898,False,False,0.6233949566174902,v2_main,False,False,True,False,
152,4690739122056717184,Orbital,1.0,425.2221418034684,73.21044,0.8047017496249593,15.539779,False,False,0.622029973979376,v2_main,False,False,True,False,
153,5851667407832653440,Orbital,1.0,202.0502933726445,36.866436,4.3219151333552,16.20516,False,True,0.614557961145037,v2_main,False,False,True,False,
154,4905858464653858944,Orbital,1.0,522.8263128610051,65.94296,0.9252175351470764,16.25875,False,False,0.6142520695766861,v2_main,False,False,True,False,
155,5334123401959324672,Orbital,1.0,896.3400952181352,49.72914,20.997106297814128,15.705243,False,True,0.6113173104055895,v2_main,True,False,True,False,
156,1983749087978089344,Orbital,1.0,192.64050009294223,43.776955,2.392333879783387,15.568796,False,False,0.6093813775719054,v2_main,False,False,True,False,
157,2057714811427134592,Orbital,1.0,860.3925258647097,12.899603,0.9263352786139294,16.930548,False,True,0.6089190160768193,v2_main,False,False,True,False,
158,5913084821648555520,Orbital,1.0,611.961011438392,49.254612,2.678827036234803,15.982324,False,False,0.608188029550094,v2_main,False,False,True,False,
159,813135719719859456,Orbital,1.0,482.89045195810127,192.29442,1.5467647136968867,15.303063,False,False,0.60749273562328,v2_main,False,False,True,False,
160,233150963936432384,Orbital,1.0,796.9957403810116,15.118243,4.246755970055029,16.546112,False,True,0.606029446568848,v2_main,False,False,True,False,
161,1394121134170224512,Orbital,1.0,643.7318798246499,67.01474,9.584877420686292,16.182148,False,False,0.6009435578193637,v2_main,False,False,True,False,
162,2094243478217710976,Orbital,1.0,797.9689210733294,20.590693,16.370335240785543,17.14602,False,False,0.5994105177170665,v2_main,False,False,True,False,
163,5299929002634004480,Orbital,1.0,507.720024301384,131.30579,0.0402338088600013,15.463413,False,True,0.5936590967274963,v2_main,False,False,True,False,
164,3072288654854260864,Orbital,1.0,608.47293221289,228.71103,3.0276439302568146,14.255661,False,False,0.5918347537901879,v2_main,False,False,True,False,
165,1964760831408498304,Orbital,1.0,654.8737998019449,48.293736,12.881738485167949,16.574732,False,True,0.5908253081036573,v2_main,False,False,True,False,
166,3014551753093454976,Orbital,1.0,916.2103700041916,14.516378,0.8996884425496039,16.571194,False,False,0.5896220849676517,v2_main,False,False,True,False,
167,3253873309421802624,Orbital,1.0,100.13714744493686,167.5406,4.458280462034943,13.607591,False,False,0.5890645090067441,v2_main,False,False,True,False,
168,4631795128323136896,Orbital,1.0,1135.711577579522,34.95534,0.101292761174514,14.548435,False,False,0.5875904236759772,v2_main,False,False,True,False,
169,1204789870432946048,Orbital,1.0,552.0534727112707,36.95634,0.6425866652176169,16.81343,False,False,0.585067822391112,v2_main,False,False,True,False,
170,5983827326751931648,Orbital,1.0,846.3600068947259,27.263199,2.469695872322649,16.581532,False,True,0.5838309534881403,v2_main,False,False,True,False,
171,6083048428569953792,Orbital,1.0,839.5445959406715,16.4675,1.4435098429810804,17.231304,False,False,0.581196910615449,v2_main,False,False,True,False,
172,4065778224715865344,Orbital,1.0,644.3503352448806,165.25117,4.759681923971909,14.951204,False,True,0.57782542837779,v2_main,False,False,True,False,
173,2300870781411307008,Orbital,1.0,935.9115572085088,26.858248,22.013426312992376,16.557425,False,False,0.5775714506618449,v2_main,True,False,True,False,
174,526804475032774528,Orbital,1.0,491.0902623623284,32.24945,0.4838797323623869,16.954935,False,True,0.5765459585945744,v2_main,False,False,True,False,
175,5674676783372468352,Orbital,1.0,869.895289954006,23.115446,0.6268485168621892,16.389513,False,False,0.5707293479068739,v2_main,False,False,True,False,
176,6849286605810570752,Orbital,1.0,578.403697068576,50.213448,0.728764393553174,16.723326,False,False,0.5706745243075279,v2_main,False,False,True,False,
177,4566039969296448128,Orbital,1.0,684.1729410110472,54.070194,0.6085649132474193,16.52791,False,False,0.566720755422843,v2_main,False,False,True,False,
178,5780641155646533504,Orbital,1.0,540.390760633678,128.86766,5.062272951922759,16.215458,False,False,0.5657141629048,v2_main,False,False,True,False,
179,3597514707925243648,Orbital,1.0,502.21268128453295,57.15066,4.382844632067908,14.716318,False,False,0.5651140300099771,v2_main,False,False,True,False,
