IAUNAME,DETUID,RA,DEC,DET_LIKE_0,ML_RATE_1,ML_EXP_1
3eRASS J070516.1-334028,sm03_108123_020_ML00006_001_c030,106.31720008196847,-33.67463191515353,399.68216,0.29301953,430.28632
3eRASS J112959.3+062953,sm03_173084_020_ML00016_001_c030,172.49745032281592,6.498120389217924,218.934,0.29282162,252.96988
3eRASS J203346.5-560355,sm03_310147_020_ML00013_001_c030,308.44411664753835,-56.06546962004217,256.9676,0.2924995,286.6276
3eRASS J081906.1+292813,sm03_125060_020_ML00020_001_c030,124.7755452556341,29.470522353562508,194.79793,0.2903512,243.08124
3eRASS J014709.6-194443,sm03_027111_020_ML00021_001_c030,26.790177782313734,-19.745497881458622,332.90155,0.2901969,375.96735
3eRASS J083920.7-023803,sm03_131093_020_ML00018_001_c030,129.8364236022623,-2.6342725360904953,225.50558,0.28983194,259.57315
3eRASS J110820.4+070516,sm03_167084_020_ML00014_001_c030,167.08511738323094,7.0879306863577645,175.0445,0.28960827,188.98851
3eRASS J131741.2-495145,sm03_201141_020_ML00017_001_c030,199.42170923746585,-49.86259674346819,476.74545,0.28893206,562.42554
3eRASS J084011.9-114504,sm03_130102_020_ML00012_001_c030,130.0499862872408,-11.75125304564084,242.90134,0.28774133,258.5002
3eRASS J212859.4-433004,sm03_321135_020_ML00026_001_c030,322.2476734812792,-43.501250292252266,162.75775,0.28630155,252.96129
3eRASS J055435.3+112524,sm03_090078_020_ML00016_001_c030,88.6471227197407,11.423569617984077,285.3027,0.28626677,303.18857
3eRASS J164150.8-453224,sm03_250135_020_ML00012_001_c030,250.46193170359368,-45.54008586430524,311.18448,0.2827222,390.83853
3eRASS J083217.4+395038,sb03_127051_020_ML00016_001_c030,128.07258441348867,39.844144930277,230.01826,0.28166273,250.5859
3eRASS J091702.2+371121,sm03_140054_020_ML00028_001_c030,139.25918926056195,37.18918592013418,182.44003,0.2811189,242.50713
3eRASS J064352.6+210439,sm03_100069_020_ML00018_001_c030,100.96949481296582,21.077773639217313,187.07973,0.280491,241.68898
3eRASS J084659.1+081126,sm03_132081_020_ML00024_001_c030,131.74662858024146,8.190816874582971,167.0914,0.27965072,221.58582
3eRASS J192150.4-553421,sm03_289147_020_ML00021_001_c030,290.46021897170397,-55.572678080875654,187.06418,0.27933955,282.3143
3eRASS J053536.1-045122,sm03_083096_020_ML00074_001_c030,83.90053183809617,-4.856370186878911,244.98944,0.27887708,372.93433
3eRASS J114514.4-475809,sm03_176138_020_ML00017_001_c030,176.31036996595458,-47.96943413263726,396.67703,0.27798116,498.5399
3eRASS J090340.4+120310,sm03_136078_020_ML00021_001_c030,135.91851836895177,12.053040940609852,153.39738,0.27768824,226.50739
3eRASS J115054.5-280538,sm03_178117_020_ML00002_001_c030,177.72717719053853,-28.094028692120435,148.60628,0.27748758,368.2605
3eRASS J032633.6-201219,sm03_053111_020_ML00021_001_c030,51.64031790180201,-20.20551622164539,471.0341,0.27691525,554.49536
3eRASS J052031.4-054825,sm03_080096_020_ML00004_001_c030,80.13114106119251,-5.807071008108012,177.1659,0.27472666,402.6941
3eRASS J105137.1-053234,sm03_164096_020_ML00019_001_c030,162.9047865151322,-5.543030467233214,168.327,0.27276105,204.3852
3eRASS J163645.9-674443,sm03_247159_020_ML00018_001_c030,249.1914132232441,-67.74539661131402,323.58966,0.27197954,492.3708
3eRASS J173852.8-715515,sm03_266162_020_ML00028_001_c030,264.7203840098138,-71.92106722341103,322.02432,0.27056375,485.5956
3eRASS J080450.0+350850,sm03_122054_020_ML00015_001_c030,121.20856035902462,35.14746990722909,203.57552,0.2683447,245.06715
