IAUNAME,DETUID,RA,DEC,POS_ERR,DET_LIKE_0,ML_RATE_1,ML_RATE_ERR_1,ML_FLUX_1,ML_EXP_1,approx_erass1_rate_lim,implied_min_rise
3eRASS J205230.4-635818,sm03_313153_020_ML00019_001_c030,313.12702133382635,-63.971865152094324,1.2125117044945442,348.02216,0.3892986,0.03689947,3.6247543e-13,319.33905,0.033626485615968704,11.577141675864542
3eRASS J125735.1+091614,sm03_195081_020_ML00016_001_c030,194.3965808514915,9.270561184177895,1.108252927174323,311.9027,0.38710412,0.036082406,3.6043214e-13,341.5245,0.033626485615968704,11.511881683138647
3eRASS J064213.6+033536,sm03_101087_020_ML00013_001_c030,100.55684885037651,3.593552621701965,1.1238147555030318,330.5153,0.38386133,0.040234804,3.574128e-13,258.2915,0.0389280766248703,9.860783434816543
3eRASS J075219.0+112401,sm03_117078_020_ML00012_001_c030,118.07924890192965,11.400489384702082,1.1909927561628586,277.49866,0.3766843,0.04151208,3.5073027e-13,242.2794,0.04354822635650635,8.649819741643375
3eRASS J055501.7+051440,sm03_089084_020_ML00006_001_c030,88.75723948253602,5.244609740187444,1.0730378579173232,459.32748,0.37600023,0.035774935,3.5009333e-13,315.44757,0.0389280766248703,9.658844159378722
3eRASS J235640.5-380317,sm03_358129_020_ML00012_001_c030,359.16916147923854,-38.05492794448647,1.287430497484497,310.47052,0.36659265,0.0377569,3.4133395e-13,285.6772,0.0389280766248703,9.417178484768332
3eRASS J083751.1+383010,sm03_131051_020_ML00013_001_c030,129.46300856060262,38.50297856607375,1.331304597900548,274.74002,0.36286527,0.04036922,3.378634e-13,240.11464,0.04354822635650635,8.332492492656902
3eRASS J111108.9+311009,sm03_166060_020_ML00006_001_c030,167.78719995579834,31.16917466411126,1.5367585381800037,252.8238,0.3603085,0.041411024,3.3548278e-13,246.637,0.0389280766248703,9.255748790680208
3eRASS J095308.2+145837,sm03_149075_020_ML00010_001_c030,148.28424618792008,14.976958184116873,1.2893296943599861,256.27856,0.35429627,0.042740136,3.298848e-13,212.02583,0.04354822635650635,8.135722087328809
3eRASS J054231.2+091849,sm03_086081_020_ML00020_001_c030,85.63001770291201,9.313846634748957,1.0580153254448372,419.7611,0.35367918,0.034361314,3.2931023e-13,328.19543,0.033626485615968704,10.517875230390024
3eRASS J044533.5-031513,sm03_071093_020_ML00015_001_c030,71.38978153620347,-3.253625833630952,1.1067689629502153,367.79358,0.35118985,0.03141855,3.2699242e-13,417.41776,0.028534311801195145,12.307633497793168
3eRASS J003116.7-492044,sm03_007138_020_ML00006_001_c030,7.819926037435367,-49.34571764536424,1.0497099010566358,377.89743,0.35068795,0.03463933,3.265251e-13,322.71506,0.033626485615968704,10.428920668504137
3eRASS J092943.1+351656,sm03_144054_020_ML00018_001_c030,142.42961800122347,35.282296756072995,1.3809599835175939,255.68213,0.3470828,0.039819095,3.2316836e-13,246.7342,0.0389280766248703,8.9160016061742
3eRASS J223116.4-462855,sm03_337135_020_ML00017_001_c030,337.8187260571867,-46.48210933436512,1.4021777005741771,238.30426,0.34522277,0.038798194,3.2143648e-13,262.8143,0.0389280766248703,8.86822060320339
3eRASS J190721.9-542003,sm03_288144_020_ML00024_001_c030,286.84133508823885,-54.33423018287609,1.3395556678485234,241.95575,0.34518644,0.03746488,3.2140265e-13,281.99765,0.0389280766248703,8.867287368527025
3eRASS J034855.1-552531,sm03_057144_020_ML00018_001_c030,57.229927944325,-55.4253423865721,1.0240072348903433,991.4674,0.3451473,0.01929974,3.2136622e-13,1035.0931,0.016667790710926056,20.70744213636057
3eRASS J073530.8-220541,sm03_113111_020_ML00006_001_c030,113.8784999474145,-22.094753942355446,1.1549447567052613,362.43,0.34228137,0.034409393,3.1869776e-13,321.33173,0.033626485615968704,10.178921914828726
3eRASS J074426.2+291605,sm03_115060_020_ML00023_001_c030,116.10950025622103,29.2680577118847,1.3564228172532113,238.17094,0.34181222,0.040121183,3.1826093e-13,233.74063,0.04354822635650635,7.8490503929550055
3eRASS J185642.2-372021,sb03_285126_020_ML00023_001_c030,284.175970102058,-37.33922589765468,1.3300189117547627,201.66858,0.33725843,0.039301053,3.140209e-13,252.50545,0.0389280766248703,8.663629379513777
3eRASS J124655.7+115645,sm03_191078_020_ML00019_001_c030,191.7324229110389,11.946092053450396,1.3132417620838326,261.86154,0.33488628,0.03498807,3.1181218e-13,313.12943,0.0389280766248703,8.602692753344696
3eRASS J040340.4-253603,sm03_062117_020_ML00012_001_c030,60.91860728412958,-25.601102847028777,0.9212944248647876,580.5333,0.33487576,0.026713584,3.118024e-13,517.6267,0.028534311801195145,11.735897637755183
3eRASS J114934.7-212330,sm03_177111_020_ML00015_001_c030,177.39473965681074,-21.391831782772353,1.2066527897874177,316.65433,0.33387166,0.03416487,3.108675e-13,319.45496,0.033626485615968704,9.928830102250686
3eRASS J093355.2+385203,sm03_142051_020_ML00006_001_c030,143.48033205406557,38.867506501920474,1.7737761752750285,145.67342,0.3297856,0.040929157,3.0706294e-13,256.5041,0.0389280766248703,8.471664001831252
3eRASS J120041.8+331237,sb03_182057_020_ML00019_001_c030,180.17445877693828,33.210449140147965,1.4823345655737963,209.91177,0.32380074,0.0403855,3.0149047e-13,220.0274,0.04354822635650635,7.4354519050995185
3eRASS J155918.4-264814,sm03_238117_020_ML00021_001_c030,239.82705536878993,-26.80390397911375,1.0241872819155937,314.17938,0.32283527,0.030032475,3.005915e-13,422.00012,0.028534311801195145,11.313932112306862
3eRASS J082055.6+192538,sm03_127072_020_ML00014_001_c030,125.23197917951713,19.42728573322305,1.2905739084886716,245.94136,0.32220456,0.038394205,3.0000424e-13,239.105,0.04354822635650635,7.398798688233796
3eRASS J015402.7-404043,sm03_030132_020_ML00014_001_c030,28.511656869030173,-40.67887500814105,1.0894398916307055,393.85068,0.3209225,0.029000929,2.9881054e-13,437.48563,0.028534311801195145,11.246897986205845
3eRASS J064229.4+013002,sm03_101087_020_ML00015_001_c030,100.62278489694692,1.5007509816534794,1.213003468939999,278.98666,0.3207529,0.03686149,2.986526e-13,261.6559,0.0389280766248703,8.239628482261077
3eRASS J135303.4-653052,sm03_211156_020_ML00015_001_c030,208.26432559386996,-65.5145682652074,1.0189610834398133,450.2732,0.32002658,0.026050027,2.9797632e-13,549.58563,0.02361605130136013,13.55123142456
3eRASS J110542.7+020250,sm03_167087_020_ML00002_001_c030,166.42823514774685,2.047389790523389,1.72375690916729,113.35044,0.31891856,0.045416128,2.9694465e-13,203.7036,0.04354822635650635,7.323342020043306
3eRASS J030334.2-544438,sm03_047144_020_ML00011_001_c030,45.892914296538144,-54.74404528418219,0.9571744208949396,758.461,0.31860894,0.021472948,2.966564e-13,765.8297,0.019889799878001213,16.01871017315095
3eRASS J124608.1-451706,sm03_192135_020_ML00015_001_c030,191.53404229505236,-45.2850379181954,0.9629014342597915,497.08505,0.31780648,0.026459903,2.959092e-13,508.35733,0.028534311801195145,11.137695716276301
3eRASS J185006.2-380732,sm03_282129_020_ML00025_001_c030,282.52621654198083,-38.12579227591003,1.4276240679127912,168.38736,0.3160932,0.038263746,2.9431397e-13,250.74847,0.0389280766248703,8.119928694439905
3eRASS J215606.7-752746,sm03_334165_020_ML00002_001_c030,329.02812180895677,-75.4628540383648,1.137450272744198,256.12656,0.315995,0.03086313,2.9422255e-13,437.28293,0.028534311801195145,11.074211635275427
3eRASS J110727.2+055040,sm03_167084_020_ML00008_001_c030,166.86338320156563,5.844466246918093,1.6627372890014218,167.38853,0.31435215,0.0432607,2.926929e-13,186.64378,0.04354822635650635,7.218483530381129
3eRASS J095727.8-262219,sm03_148117_020_ML00014_001_c030,149.36599864175514,-26.372062486314675,1.2129243494750006,273.44977,0.31098044,0.034693517,2.8955348e-13,283.70847,0.0389280766248703,7.988589885466306
3eRASS J155119.8-521040,sm03_238141_020_ML00010_001_c030,237.8328237292154,-52.17787632569,1.1382049825754017,420.05728,0.31041613,0.0286838,2.8902805e-13,421.23557,0.028534311801195145,10.878697000804609
3eRASS J051738.5-065022,sm03_080096_020_ML00007_001_c030,79.41045735038247,-6.8396342795684335,1.1331965040203222,215.13571,0.31000707,0.032312,2.8864717e-13,403.0388,0.033626485615968704,9.219133663714594
3eRASS J065247.8+180149,sm03_102072_020_ML00007_001_c030,103.19940583457455,18.03052891218927,1.7585722332766207,100.3254,0.3085068,0.042806372,2.8725029e-13,231.62009,0.04354822635650635,7.084256068150524
3eRASS J075326.2+292159,sm03_118060_020_ML00012_001_c030,118.35939063832465,29.366429252576328,2.2685033607474514,101.2069,0.307782,0.04151507,2.8657542e-13,233.35487,0.04354822635650635,7.067612623833522
3eRASS J083839.1+065352,sm03_131084_020_ML00012_001_c030,129.6629543662563,6.897919390371564,1.4316811377788694,213.54893,0.3073487,0.03898154,2.86172e-13,225.37517,0.04354822635650635,7.0576628279073335
3eRASS J062647.0-473944,sm03_098138_020_ML00010_001_c030,96.69621067493244,-47.66235589396706,0.8918563071542593,354.2395,0.306259,0.023944238,2.8515737e-13,723.034,0.019889799878001213,15.397792242271795
3eRASS J082923.0+231933,sm03_128066_020_ML00011_001_c030,127.3461174400789,23.325935117768573,1.5656294033394729,226.19983,0.30535495,0.037756525,2.843156e-13,236.96516,0.04354822635650635,7.0118803533447025
3eRASS J071442.2-010943,sm03_110090_020_ML00019_001_c030,108.67606719631361,-1.1620285735034759,1.432015295093075,217.67325,0.30527237,0.038120814,2.8423872e-13,229.22527,0.04354822635650635,7.009984013533749
3eRASS J193835.4-461259,sm03_296135_020_ML00018_001_c030,294.64782529917477,-46.21659173522456,1.5915729945713493,176.91158,0.304023,0.036497872,2.8307543e-13,267.41266,0.0389280766248703,7.809864344119378
