name,RA,DEC,cand_set,tid,2rxs_sep,2rxs_id,2rxs_cts,2rxs_hr1,2rxs_n,xmmsl3_sep,xmmsl3_id,xmmsl3_flux_02_2,xmmsl3_flux_02_12,xmmsl3_rate_02_2,xmmsl3_n,csc21_sep,csc21_id,csc21_flux_b,csc21_flux_s,csc21_flag_e,csc21_flag_var,csc21_n,2sxps_sep,2sxps_id,2sxps_rate0,2sxps_flux_po0,2sxps_det,2sxps_pconst,2sxps_n,catwise_sep,catwise_id,catwise_w1,catwise_w2,catwise_n,gvar_sep,gvar_id,gvar_gmin,gvar_gmax,gvar_ng,gvar_n,gclass_sep,gclass_id,gclass_class,gclass_score,gclass_n,xmmssc_id,xmmssc_sep,xmmssc_flux_02_12,xmmssc_flux_err,xmmssc_flux_05_2,xmmssc_nobs,xmmssc_n,artxc_sep,artxc_name,artxc_flux,artxc_signi,artxc_cname,artxc_newxray,artxc_type,artxc_z,mkm_sep,mkm_iauname,mkm_ferass1,mkm_f2rxs,mkm_dist,mkm_lum
1eRASS J055024.4-682418,87.60197945778121,-68.40526929487733,vanished_full,157,30.262811,2RXS J055027.3-682353,104.01,0.63,1.0,,,,,,,,,,,,,,,,,,,,,2.263301,J055024.11-682420.0,15.155,15.228,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1eRASS J042227.4-634840,65.61454949204767,-63.81114611415591,vanished_full,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1eRASS J042014.0-512647,65.05852168845458,-51.44646021266155,vanished_full,159,,,,,,,,,,,,,,,,,,,,,,,,,,3.583958,J042014.06-512650.8,12.498,12.733,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1eRASS J044439.9-594134,71.16632106550313,-59.69294520069152,vanished_full,160,,,,,,,,,,,,,,,,,,,,,,,,,,0.290258,J044439.94-594134.6,11.405,11.336,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1eRASS J053732.2-663013,84.3844998306501,-66.50364141191811,vanished_full,161,,,,,,,,,,,,,,,,,,,,,,,,,,0.705728,J053732.28-663012.4,16.716,15.828,4.0,,,,,,,,,,,,5XMM J053732.3-663009,4.08161159766293,9.29334e-14,1.12167e-14,2.308042e-14,336.0,1.0,,,,,,,,,,,,,,
1eRASS J060317.3-675951,90.82238040109684,-67.99769401746899,vanished_full,162,,,,,,,,,,,,,,,,,,,,,,,,,,5.709975,J060318.36-675952.7,15.74,15.749,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1eRASS J044423.9-335553,71.09959408790638,-33.931538164223035,vanished_full,163,,,,,,,,,,,,,,,,,,,,,,,,,,5.089026,J044424.21-335556.7,15.862,15.451,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1eRASS J145727.7-212510,224.36563256557648,-21.41971552553706,vanished_full,164,,,,,,16.993495,XMMSL3 J145727.6-212528,1.19188,3.31695,0.83,1.0,12.133755,2CXO J145728.6-212510,0.000155,0.000142,False,True,1.0,,,,,,,,,,,,,3.112355,6.232511675556408e+18,6.965116,7.316399,25.0,1.0,3.112355,6.232511675556408e+18,LPV,0.095090024,1.0,,,,,,,,,,,,,,,,,,,,,
1eRASS J004058.4-442918,10.243731593962629,-44.48843697774522,vanished_full,165,,,,,,13.977745,XMMSL3 J004059.7-442913,0.84724,2.24289,0.59,2.0,,,,,,,,,,,,,,,4.069392,J004058.26-442921.6,17.208,17.314,3.0,,,,,,,,,,,,5XMM J004058.8-442928,10.799877807082702,1.3402e-14,5.87555e-15,3.748824e-15,44.0,1.0,,,,,,,,,,,,,,
1eRASS J034806.4-244936,57.02673750566063,-24.82678750910253,vanished_full,166,,,,,,2.842783,XMMSL3 J034806.2-244937,0.845692,,0.588922,1.0,,,,,,,,3.870013,187518.0,0.0128,3.366e-13,0.0,0.12,1.0,2.002393,J034806.56-244936.1,14.26,13.401,1.0,2.002277,5.083748450911707e+18,18.98012,19.483829,64.0,1.0,2.002277,5.083748450911707e+18,AGN,0.6450952,1.0,,,,,,,,,,,,,,,,,,,,,
1eRASS J054054.4-625047,85.22699673226421,-62.846459832710174,vanished_full,167,,,,,,,,,,,,,,,,,,,,,,,,,,1.787662,J054054.50-625049.0,14.047,13.946,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1eRASS J052427.0-544401,81.1125847742874,-54.73368783606233,vanished_full,168,,,,,,,,,,,,,,,,,,,,,,,,,,4.101983,J052427.40-544358.9,15.047,14.3,1.0,4.132334,4.769994973905083e+18,20.1129,20.666733,40.0,1.0,4.132334,4.769994973905083e+18,AGN,0.05323555,1.0,,,,,,,,,,,,,,,,,,,,,
1eRASS J084215.3-702500,130.5638478778852,-70.41675617332815,vanished_full,169,,,,,,,,,,,,,,,,,,,,,,,,,,1.170818,J084215.50-702501.1,15.808,14.991,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1eRASS J071432.7-704355,108.63649641813652,-70.73218610363838,vanished_full,170,,,,,,,,,,,,,,,,,,,,,,,,,,5.85376,J071433.94-704356.2,15.387,14.61,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1eRASS J062127.7-671207,95.36567614426338,-67.20195643156956,vanished_full,171,,,,,,,,,,,,,,,,,,,,,,,,,,1.362432,J062127.55-671206.4,16.772,16.672,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
