source_id,verdict,phot_g_mean_mag,bp_rp,d_pc,period,significance,l,b,activityindex_espcs,activityindex_espcs_uncertainty,activityindex_espcs_input,amp_g,amp_g_baseline,damp_g,amp_bp,damp_bp,amp_rp,damp_rp,phot_variable_flag,in_vari_summary,std_dev_mag_g_fov,range_mag_g_fov,stetson_mag_g_fov,in_vari_rotation_modulation,ruwe,ipd_frac_multi_peak,ipd_gof_harmonic_amplitude,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_gof_al,phot_bp_rp_excess_factor,phot_g_n_obs,visibility_periods_used,notes
6054379247042197504,CONFIRMED,14.872497,1.247798,1214.3479356597934,807.5515579560968,7.4,298.0301858935535,-0.4664131955484548,,,M2,-2.386968613032921,-2.257080033384347,-0.1298885796485738,-2.0039406033594287,-0.08165322216467086,-2.3447022953847085,-0.13800867758379365,NOT_AVAILABLE,False,,,,,2.4275956,0,0.019406183,0.46778366,65.58356,33.54034,1.2378409,411,26,Good solution
6687541573416724608,UNKNOWN,12.0742235,0.7318506,356.0961329755163,1125.0709267882726,20.1,0.8446408642730379,-31.014579979466543,0.011755975,0.0016887647,M2,-2.4503543682511637,-2.4271858493789003,-0.023168518872263455,-2.4692114868490864,-0.07775750588581154,-2.7061994351823775,-0.09709669742863314,NOT_AVAILABLE,False,,,,,13.232939,0,0.004568027,1.6508578,4039.9116,165.14687,1.1949338,287,18,RV follow-up incomplete
4099356347737522432,UNKNOWN,13.814686,1.162466,835.509667815744,718.3403067637188,9.4,18.095610978716188,-6.733211446975077,,,M2,-2.457306439437355,-2.379255494865588,-0.07805094457176676,-2.284587875639787,-0.09180415649737972,-2.470499005538902,-0.07391437195424055,NOT_AVAILABLE,False,,,,,3.4091625,0,0.01410923,0.5095115,110.65239,38.92456,1.2368499,195,16,No RV follow-up
3869650535947137920,SPURIOUS,12.938148,0.70751,600.981423827068,570.036402597465,34.0,236.9520242105155,55.90243195034571,,,M2,-2.3498875106750376,-2.4069038686093913,0.05701635793435367,-2.3605255878773725,-0.04955515737798022,-2.5777754348101483,-0.060516027603437994,NOT_AVAILABLE,False,,,,,7.6375456,0,0.009223727,1.192351,1039.8933,81.03669,1.1901255,178,14,RVs inconsistent with orbital solution
3649963989549165440,OTHER,14.299598,-0.32364845,731.5830884703113,892.5306233789424,40.2,347.9297509422578,52.47268112130293,,,,-1.934015043809107,-2.3302711343333744,0.39625609052426736,-2.0623913712418145,-0.0028323902477542795,-2.105965756587322,0.18986353063171624,NOT_AVAILABLE,False,,,,,4.741835,0,0.0411499,1.271304,538.5802,54.2964,1.1507889,218,15,NS candidate with an sdB primary
6593763230249162112,SPURIOUS,13.537497,0.79671097,777.7100097083846,679.887939268342,23.3,0.5970539387092987,-57.960662862464176,,,M2,-2.3707888411556928,-2.3971201640609947,0.026331322905301935,-2.282740560151349,-0.03693077780419474,-2.3495457842158123,0.0760932316956775,NOT_AVAILABLE,False,,,,,3.9944954,0,0.0060014958,0.46703237,170.39037,64.647804,1.1948473,421,20,RVs inconsistent with orbital solution
1058875159778407808,CONFIRMED,14.520771,0.749341,1110.3233043393982,835.6823615515086,33.0,140.71369864396598,46.8785254377979,,,M2,-2.3280336537020627,-2.300555393794304,-0.027478259907758762,-2.17624346052368,-0.16436098578346403,-2.2928420416520687,-0.03171899364152786,NOT_AVAILABLE,False,,,,,3.7614715,0,0.011906877,0.5935569,161.53664,63.36288,1.191715,471,28,Good solution
1350295047363872512,CONFIRMED,13.523132,0.71645164,895.1031460191664,657.2419539332093,34.1,71.21637872446694,31.043439036192872,,,,-2.4315102108020676,-2.399787261934514,-0.03172294886755367,-2.3098532859917347,-0.0612060846039264,-2.4372886315109232,-0.0086121020800638,NOT_AVAILABLE,False,,,,,5.0729465,1,0.023904296,0.6415939,313.67883,75.94326,1.1946962,347,28,Good solution
1732878914341314944,CONFIRMED,13.942667,0.94620323,1007.011794373298,648.0967397986716,6.8,54.07369143462075,-27.151407538223253,,,M2,-2.4246150055042937,-2.361609361703781,-0.06300564380051243,-2.202938312568632,-0.04115715383702545,-2.225564221930355,0.14712840919631764,NOT_AVAILABLE,False,,,,,3.5144079,0,0.028477896,0.49984902,122.56366,43.221676,1.2149886,261,16,Good solution
809741149368202752,CONFIRMED,14.908419,0.966135,722.9255348204251,922.3885089937434,13.5,173.35808336507114,52.85678880167924,,,,-2.3158920133618905,-2.256010620643509,-0.059881392718381665,-1.9949886362753457,-0.07922389668607388,-2.0388383045132277,0.1635773119520958,NOT_AVAILABLE,False,,,,,3.5845776,1,0.027763093,0.66648424,135.69196,58.789448,1.2106504,429,21,Good solution
