rank,source_id,queue_bin,has_epoch_photometry,phot_g_n_obs,phot_g_mean_mag
372,6259582820065293696,v2_main,False,184,13.439865
373,1978700096240282368,v2_main,False,514,14.781263
374,1431825380751544960,v2_main,False,360,16.457394
375,1061034119578929536,v2_main,False,394,17.029236
376,1686543192244173696,v2_main,False,377,10.825567
377,4312158606986263040,v2_main,True,261,12.078159
378,5941516646164195456,v2_main,False,451,14.957132
379,5839182174066052224,v2_main,False,462,12.988483
380,1470687722314940800,v2_main,False,646,15.327785
381,6084565823337151232,v2_main,False,497,15.64363
382,1591195124431687040,v2_main,False,532,16.397745
383,1830559870977294080,v2_main,False,473,13.12907
384,5030092871887678208,v2_main,False,453,15.990717
385,2061745517972456576,v2_main,False,411,12.863148
386,2165818043058152576,v2_main,False,495,13.4261675
387,1105732806301350400,v2_main,False,643,15.197646
388,565172998431456384,v2_main,False,381,9.100781
389,4576678637654618496,v2_main,True,731,14.93188
390,4585121443844723072,v2_main,False,565,15.384635
391,4807307558125608704,v2_main,False,336,15.670408
392,5249726023273495936,v2_main,False,321,12.845079
393,5882322685400020224,v2_main,False,482,13.030126
394,4814513516815693312,v2_main,False,358,16.046093
395,1816676784309546880,v2_main,False,446,13.832624
396,4486205735675856000,v2_main,False,598,14.286651
397,747362075151940096,v2_main,False,337,14.307904
398,2770929319593593472,v2_main,False,479,14.807764
399,1002301472598253056,v2_main,False,441,14.828457
400,3633910260790279936,v2_main,False,350,14.32233
401,5879292706186247680,v2_main,False,500,14.676814
402,1386979565629462912,v2_main,False,414,15.436603
403,4299209761617593856,v2_main,False,468,12.756013
404,6081932321190956928,v2_main,True,516,14.645844
405,4121620118218865408,v2_main,False,479,9.465128
406,2231278532962626176,v2_main,False,366,13.71286
407,6054914331235510272,v2_main,False,519,10.930049
408,1995223041572049152,v2_main,False,449,14.750322
409,1132073909446788352,v2_main,False,432,15.593604
410,484193863969090176,v2_main,True,787,15.177829
411,6416572288572864512,v2_main,False,474,12.484946
412,4258404346796582784,v2_main,False,240,15.8468
413,5335019710119628288,v2_main,False,403,11.886198
414,1260782225197846144,v2_main,False,437,14.170198
415,1499093536498936576,v2_main,False,640,14.637223
416,2963110964149213184,v2_main,False,526,16.954546
417,5833240035272612736,v2_main,False,473,15.354634
418,1387309380462292736,v2_main,False,538,18.158262
419,6900673518684900096,v2_main,False,273,15.616204
420,420760358106619520,v2_main,False,525,12.872098
421,6898820601071896576,v2_main,False,273,14.809454
422,1827955265387631744,v2_main,False,707,13.373935
423,304619975649100416,v2_main,False,192,14.625784
424,4929923514307259392,v2_main,False,615,15.245805
425,4217146784087552,v2_main,False,192,16.050014
426,5310538121630464640,v2_main,False,432,16.228525
427,3056409026894392448,v2_main,False,336,12.630058
428,2314595091706855680,v2_main,False,285,11.7366085
429,1345279281476995968,v2_main,False,382,14.179119
430,5648541293198448512,v2_main,False,546,15.134863
431,3105216726008352640,v2_main,False,211,15.776428
432,5039979680444075392,v2_main,False,473,12.719213
433,5280078282257211008,v2_main,False,304,17.114836
434,5327240562221030528,v2_main,False,429,13.049069
435,3192979056939164928,v2_main,False,393,13.577972
436,529794253307478784,v2_main,False,468,14.507255
437,1718221565349474176,v2_main,False,396,12.971858
438,2084247641915567872,v2_main,False,378,12.387898
439,4669739377677407872,v2_main,False,580,16.94276
440,1632602010778931712,v2_main,False,308,15.609608
441,6402842656814093440,v2_main,False,655,14.9728
442,2001271420686637952,v2_main,False,478,10.883972
443,1870648649031735296,v2_main,False,459,13.465396
444,2180259338015800704,v2_main,False,330,11.796338
445,322080220298467200,v2_main,False,285,12.814234
446,4568846026050648064,v2_main,False,664,16.443369
447,5560274870544002944,v2_main,False,374,14.631502
448,4509011462269157888,v2_main,False,296,13.097405
449,3025192242511543936,v2_main,False,309,15.612688
450,2195125078815029632,v2_main,False,545,9.157566
451,4987982091940017280,v2_main,False,605,15.930246
452,6398579369196480768,v2_main,False,482,15.956996
453,5017979277407639808,v2_main,False,797,15.923729
454,2164564290565627008,v2_main,False,447,12.473694
455,5465606094755544704,v2_main,False,383,14.772383
456,5780469460033566848,v2_main,True,480,16.087463
457,276061123196785920,v2_main,True,639,13.070501
458,555172149902053888,v2_main,False,465,16.805199
459,5536921724608001664,v2_main,False,400,13.141791
460,3562859475806265984,v2_main,False,261,16.317133
461,543273475585783424,v2_main,False,527,15.166097
462,1277554141209534720,v2_main,False,588,16.186472
463,5235723605260629760,v2_main,False,418,12.298504
464,4800186124391956736,v2_main,False,370,15.718712
465,5825458864532228096,v2_main,False,855,16.387627
466,5541388898616068224,v2_main,False,463,13.136244
467,5541879147666574848,v2_main,False,400,10.225625
468,3181760121325159296,v2_main,False,391,16.575592
469,1985420517450487040,v2_main,False,503,16.108753
470,5207982858145913344,v2_main,False,343,15.221054
471,1302344314485094144,v2_main,False,694,17.185057
472,1479598198906350336,v2_main,True,785,15.113306
473,4232521495173419392,v2_main,False,367,15.720876
474,4505797933387041024,v2_main,False,299,14.820021
475,1843288397374797696,v2_main,False,408,15.686055
476,1919775721898098688,v2_main,False,443,13.945654
477,724776044732898176,v2_main,False,247,16.406847
478,5929211736672889472,v2_main,False,374,13.469933
479,5715883425470359296,v2_main,False,422,15.991178
480,2768782798017609728,v2_main,False,302,15.271661
481,4549279357641331840,v2_main,False,634,14.5749035
482,5272185575478187264,v2_main,False,363,13.666647
483,6396515414073045632,v2_main,False,514,13.417535
484,724882972238781056,v2_main,False,252,14.432296
485,4594177811881883264,v2_main,False,533,16.101854
486,544109963416376192,v2_main,False,470,15.454294
487,4604635095175048960,v2_main,False,372,16.630001
488,5548810022279673088,v2_main,False,294,15.2384405
489,4037114609474235264,v2_main,False,340,14.305891
490,2078698617187818112,v2_main,False,410,12.028622
491,5056341581697159040,v2_main,False,685,15.910336
492,2076368064858958592,v2_main,False,387,12.754489
493,3230909699835966464,v2_main,False,425,15.111532
494,2047180394837955840,v2_main,False,469,15.876647
495,539586984896878976,v2_main,False,418,15.913935
496,2927550868333231232,v2_main,True,696,15.968408
497,220123911510053248,v2_main,False,412,11.988397
498,4771965887154020992,v2_main,False,337,14.531445
499,5469275298200318336,v2_main,False,307,16.22132
500,4241312301103094400,v2_main,False,303,15.126642
501,4777062772088122880,v2_main,False,339,17.029919
502,4730517631681455232,v2_main,False,613,15.904727
503,5761922554295015936,v2_main,True,458,13.640528
504,5390746017378194688,v2_main,False,401,14.997914
505,4608282896798203776,v2_main,True,466,15.341301
506,2192876508819218304,v2_main,False,507,15.170743
507,1529690127601558400,v2_main,True,796,14.424852
508,4524807699152454144,v2_main,False,897,14.796396
509,1006730820831295616,v2_main,False,313,11.990702
510,1478956187196952192,v2_main,False,761,14.153197
511,5298959130301466112,v2_main,False,468,12.475628
512,464409732777473408,v2_main,False,690,9.600082
513,2141607003165968256,v2_main,False,366,14.797321
514,4921951024213463040,v2_main,False,505,16.537863
515,6140530793386059264,v2_main,True,432,16.027472
516,5945213238601717504,v2_main,False,401,10.5125065
517,5206819403045075200,v2_main,False,364,16.041292
518,5275668450356757888,v2_main,False,564,16.376379
519,5386599789094748672,v2_main,False,527,12.317994
520,5258008128981489792,v2_main,False,417,13.965938
521,4071681846220462464,v2_main,False,260,13.834428
522,3551239802564597888,v2_main,False,315,15.599422
523,3562207946447390080,v2_main,False,290,14.201505
524,6455095503816096512,v2_main,False,668,15.074119
525,4917506866933336192,v2_main,False,549,15.590462
526,4037427592356364032,v2_main,True,258,14.223818
527,4721434909721793536,v2_main,False,475,16.277279
528,5223720271157843072,v2_main,False,353,16.204218
529,4047145935014201344,v2_main,False,195,14.609216
530,1192290072493193216,v2_main,False,385,14.996537
531,6852732131654780288,v2_main,False,305,14.962603
532,2000590857343031040,v2_main,False,472,16.155525
533,3153931894346695808,v2_main,False,221,13.6518135
534,6849244583851073024,v2_main,False,240,14.556652
535,5366512781105600640,v2_main,False,505,16.215673
536,6649484280525523584,v2_main,False,272,15.100328
537,1834608990029533312,v2_main,False,712,14.93713
538,4737861579080696064,v2_main,False,478,15.888672
539,5409764716692743040,v2_main,False,469,13.541317
540,2004687981268082048,v2_main,False,471,13.552723
541,5655052704135368320,v2_main,True,336,14.982057
542,510867943039802368,v2_main,False,500,17.845736
543,5938730445019006592,v2_main,False,380,14.221455
544,1464711807899087872,v2_main,False,598,13.816935
545,4046098993834886656,v2_main,False,228,10.33446
546,1080565569256845568,v2_main,False,409,12.9898
547,1007735808819943680,v2_main,False,588,16.170841
548,1731914127247532544,v2_main,False,466,15.404524
549,1141313208734964480,v2_main,False,474,14.225927
550,5446310318525312768,v2_main,False,552,10.372846
551,5877686693317092224,v2_main,False,605,8.37271
552,5188536620619778688,v2_main,False,391,15.960456
553,5395941759575400448,v2_main,False,408,13.886748
554,443126520557053312,v2_main,False,359,16.498583
555,4129482893281612416,v2_main,False,247,14.691736
556,4376707984005940608,v2_main,False,519,15.693804
557,1683575679079854848,v2_main,False,392,14.29955
558,2992090998281520128,v2_main,False,515,15.836901
559,539382029057972096,v2_main,False,387,13.788988
560,3489566065058932864,v2_main,False,500,14.71891
561,1346973388376838400,v2_main,False,373,12.765218
562,2197889285419854848,v2_main,False,469,16.958157
563,2207907760480934400,v2_main,False,350,13.965799
564,1822800617416961152,v2_main,False,462,9.994658
565,5807146051670381312,v2_main,False,508,14.475931
566,6053747543236684544,v2_main,True,506,14.865977
567,2855850134523801856,v2_main,False,403,16.113485
568,2045202918859889664,v2_main,False,421,12.0682
569,576397706481154176,v2_main,True,372,13.401242
570,5335709894187445760,v2_main,False,458,13.456109
571,1685261230405657728,v2_main,False,351,15.902456
572,5523322380682928640,v2_main,False,389,14.542872
573,6053335599996298496,v2_main,False,493,13.584953
